,postcode,gemiddelde_woz_waarde_woning,gemeente,geometry
71775,2064,296,Haarlemmerliede en Spaarnwoude,
71853,2065,435,Haarlemmerliede en Spaarnwoude,
71865,2071,303,Velsen,
72070,2082,449,Velsen,
72172,2101,383,Heemstede,
72416,2102,543,Heemstede,
72564,2103,384,Heemstede,
72669,2104,317,Heemstede,
72775,2105,331,Heemstede,
72882,2106,509,Heemstede,
72964,2111,909,Bloemendaal,
73126,2114,309,Bloemendaal,
73195,2116,629,Zandvoort,
73236,2121,362,Bloemendaal,
73261,2121,362,Hillegom,
73379,2131,251,Haarlemmermeer,
73655,2132,227,Haarlemmermeer,
74013,2133,215,Haarlemmermeer,
74169,2134,253,Haarlemmermeer,
74526,2135,245,Haarlemmermeer,
74806,2136,335,Haarlemmermeer,
74853,2141,325,Haarlemmermeer,
74987,2142,379,Haarlemmermeer,
75012,2143,215,Haarlemmermeer,
75022,2144,268,Haarlemmermeer,
75042,2151,255,Haarlemmermeer,
75332,2152,271,Haarlemmermeer,
75571,2153,237,Haarlemmermeer,
75685,2154,312,Haarlemmermeer,
75696,2155,410,Haarlemmermeer,
75698,2156,288,Haarlemmermeer,
75710,2157,261,Haarlemmermeer,
75748,2158,301,Haarlemmermeer,
75763,2159,367,Kaag en Braassem,
75781,2161,259,Lisse,
76112,2162,235,Lisse,
76292,2163,238,Lisse,
76359,2165,268,Haarlemmermeer,
76435,2171,268,Teylingen,
76728,2172,254,Teylingen,
76884,2181,230,Hillegom,
77129,2182,227,Hillegom,
77440,2191,262,Noordwijkerhout,
77492,2201,293,Noordwijk,
77864,2202,410,Noordwijk,
78161,2203,251,Noordwijk,
78287,2204,533,Noordwijk,
78326,2211,263,Noordwijkerhout,
78712,2215,285,Teylingen,
79072,2221,216,Katwijk,
79378,2223,257,Katwijk,
79545,2224,240,Katwijk,
79772,2225,258,Katwijk,
80119,2231,268,Katwijk,
80491,2235,278,Katwijk,
80633,2241,273,Wassenaar,
80896,2242,453,Wassenaar,
81097,2242,453,Katwijk,
81208,2243,1157,Wassenaar,
81325,2244,1023,Wassenaar,
81349,2244,1023,'s-Gravenhage,
81405,2245,415,Wassenaar,
81468,2251,303,Voorschoten,
81760,2252,321,Voorschoten,
81931,2253,259,Voorschoten,
82150,2254,380,Voorschoten,
82168,2261,291,Leidschendam-Voorburg,
82294,2262,126,Leidschendam-Voorburg,
82426,2263,152,Leidschendam-Voorburg,
82574,2264,268,Leidschendam-Voorburg,
82788,2265,303,Leidschendam-Voorburg,
82904,2266,256,Leidschendam-Voorburg,
83070,2267,637,Leidschendam-Voorburg,
83086,2271,375,Leidschendam-Voorburg,
83271,2272,290,Leidschendam-Voorburg,
83492,2273,165,Leidschendam-Voorburg,
83770,2274,193,Leidschendam-Voorburg,
84079,2275,358,Leidschendam-Voorburg,
84199,2281,296,Rijswijk,
84345,2282,182,Rijswijk,
84666,2283,152,Rijswijk,
84845,2284,136,Rijswijk,
85009,2285,215,Rijswijk,
85196,2286,200,Rijswijk,
85435,2287,145,Rijswijk,
85566,2288,246,Rijswijk,
85642,2289,278,Rijswijk,
85707,2291,233,Westland,
85948,2291,233,'s-Gravenhage,
86030,2292,285,Westland,
86102,2295,245,Westland,
86214,2311,285,Leiden,
86531,2312,210,Leiden,
86964,2313,284,Leiden,
87268,2314,303,Leiden,
87418,2315,160,Leiden,
87685,2316,201,Leiden,
87989,2317,213,Leiden,
88334,2318,270,Leiden,
88438,2321,166,Leiden,
88722,2322,237,Leiden,
88730,2323,591,Leiden,
