"Soort misdrijf";"Perioden";"Regio's";"Geregistreerde misdrijven/Totaal geregistreerde misdrijven (aantal)";"Geregistreerde misdrijven/Geregistreerde misdrijven, relatief (% van totaal geregistreerde misdrijven)";"Geregistreerde misdrijven/Geregistreerde misdrijven per 1000 inw.  (per 1 000 inwoners)"
"Misdrijven, totaal";"2014";"Horst aan de Maas";1520;100;36,5
"Misdrijven, totaal";"2015";"Horst aan de Maas";1605;100;38,5
"Misdrijven, totaal";"2016";"Horst aan de Maas";1440;100;34,6
"Misdrijven, totaal";"2017";"Horst aan de Maas";1295;100;30,7
"Misdrijven, totaal";"2013";"Houten";1905;100;39,4
"Misdrijven, totaal";"2014";"Houten";1910;100;39,4
"Misdrijven, totaal";"2015";"Houten";1720;100;35,4
"Misdrijven, totaal";"2016";"Houten";1795;100;36,8
"Misdrijven, totaal";"2017";"Houten";1615;100;32,7
"Misdrijven, totaal";"2013";"Huizen";1975;100;47,6
"Misdrijven, totaal";"2014";"Huizen";1745;100;42,3
"Misdrijven, totaal";"2015";"Huizen";1955;100;47,3
"Misdrijven, totaal";"2016";"Huizen";1850;100;44,7
"Misdrijven, totaal";"2017";"Huizen";1485;100;35,9
"Misdrijven, totaal";"2013";"Hulst";1070;100;39
"Misdrijven, totaal";"2014";"Hulst";1155;100;42,2
"Misdrijven, totaal";"2015";"Hulst";1120;100;40,9
"Misdrijven, totaal";"2016";"Hulst";910;100;33,2
"Misdrijven, totaal";"2017";"Hulst";830;100;30,2
"Misdrijven, totaal";"2013";"IJsselstein";1495;100;43,6
"Misdrijven, totaal";"2014";"IJsselstein";1390;100;40,6
"Misdrijven, totaal";"2015";"IJsselstein";1375;100;40,4
"Misdrijven, totaal";"2016";"IJsselstein";1340;100;39,2
"Misdrijven, totaal";"2017";"IJsselstein";1190;100;34,8
"Misdrijven, totaal";"2013";"Kaag en Braassem";915;100;35,5
"Misdrijven, totaal";"2014";"Kaag en Braassem";815;100;31,7
"Misdrijven, totaal";"2015";"Kaag en Braassem";870;100;33,6
"Misdrijven, totaal";"2016";"Kaag en Braassem";775;100;29,7
"Misdrijven, totaal";"2017";"Kaag en Braassem";755;100;28,7
"Misdrijven, totaal";"2013";"Kampen";1930;100;37,9
"Misdrijven, totaal";"2014";"Kampen";1825;100;35,7
"Misdrijven, totaal";"2015";"Kampen";1755;100;34,1
"Misdrijven, totaal";"2016";"Kampen";1840;100;35,4
"Misdrijven, totaal";"2017";"Kampen";1475;100;28,1
"Misdrijven, totaal";"2013";"Kapelle";385;100;30,8
"Misdrijven, totaal";"2014";"Kapelle";270;100;21,8
"Misdrijven, totaal";"2015";"Kapelle";285;100;22,9
"Misdrijven, totaal";"2016";"Kapelle";305;100;24,1
"Misdrijven, totaal";"2017";"Kapelle";315;100;25
"Misdrijven, totaal";"2013";"Katwijk";2480;100;39,6
"Misdrijven, totaal";"2014";"Katwijk";2105;100;33,5
"Misdrijven, totaal";"2015";"Katwijk";2205;100;34,7
"Misdrijven, totaal";"2016";"Katwijk";2055;100;32
"Misdrijven, totaal";"2017";"Katwijk";1860;100;28,8
"Misdrijven, totaal";"2013";"Kerkrade";3255;100;69
"Misdrijven, totaal";"2014";"Kerkrade";3245;100;69,3
"Misdrijven, totaal";"2015";"Kerkrade";3090;100;66,5
"Misdrijven, totaal";"2016";"Kerkrade";2945;100;64
"Misdrijven, totaal";"2017";"Kerkrade";2685;100;58,5
"Misdrijven, totaal";"2013";"Koggenland";950;100;42,5
"Misdrijven, totaal";"2014";"Koggenland";835;100;37,1
"Misdrijven, totaal";"2015";"Koggenland";815;100;36,4
"Misdrijven, totaal";"2016";"Koggenland";710;100;31,7
"Misdrijven, totaal";"2017";"Koggenland";605;100;26,8
"Misdrijven, totaal";"2013";"Kollumerland en Nieuwkruisland";255;100;19,9
"Misdrijven, totaal";"2014";"Kollumerland en Nieuwkruisland";285;100;22,2
"Misdrijven, totaal";"2015";"Kollumerland en Nieuwkruisland";270;100;21
"Misdrijven, totaal";"2016";"Kollumerland en Nieuwkruisland";270;100;21,1
"Misdrijven, totaal";"2017";"Kollumerland en Nieuwkruisland";220;100;17,1
"Misdrijven, totaal";"2013";"Korendijk";220;100;20,4
"Misdrijven, totaal";"2014";"Korendijk";185;100;17,4
"Misdrijven, totaal";"2015";"Korendijk";205;100;19,2
"Misdrijven, totaal";"2016";"Korendijk";200;100;18,7
"Misdrijven, totaal";"2017";"Korendijk";315;100;28,7
"Misdrijven, totaal";"2013";"Krimpen aan den IJssel";1120;100;38,8
"Misdrijven, totaal";"2014";"Krimpen aan den IJssel";915;100;31,7
"Misdrijven, totaal";"2015";"Krimpen aan den IJssel";815;100;28,1
"Misdrijven, totaal";"2016";"Krimpen aan den IJssel";800;100;27,5
"Misdrijven, totaal";"2017";"Krimpen aan den IJssel";810;100;27,7
"Misdrijven, totaal";"2013";"Krimpenerwaard";;;
"Misdrijven, totaal";"2014";"Krimpenerwaard";;;
"Misdrijven, totaal";"2015";"Krimpenerwaard";1590;100;29,3
"Misdrijven, totaal";"2016";"Krimpenerwaard";1520;100;27,8
"Misdrijven, totaal";"2017";"Krimpenerwaard";1425;100;25,8
"Misdrijven, totaal";"2013";"Laarbeek";880;100;40,3
"Misdrijven, totaal";"2014";"Laarbeek";890;100;40,8
"Misdrijven, totaal";"2015";"Laarbeek";755;100;34,4
"Misdrijven, totaal";"2016";"Laarbeek";595;100;27
"Misdrijven, totaal";"2017";"Laarbeek";605;100;27,5
"Misdrijven, totaal";"2013";"Landerd";690;100;45,2
"Misdrijven, totaal";"2014";"Landerd";600;100;39,3
"Misdrijven, totaal";"2015";"Landerd";510;100;33,3
"Misdrijven, totaal";"2016";"Landerd";495;100;32,5
"Misdrijven, totaal";"2017";"Landerd";470;100;30,5
"Misdrijven, totaal";"2013";"Landgraaf";2085;100;54,9
"Misdrijven, totaal";"2014";"Landgraaf";2140;100;57
"Misdrijven, totaal";"2015";"Landgraaf";1965;100;52,4
"Misdrijven, totaal";"2016";"Landgraaf";1810;100;48,3
"Misdrijven, totaal";"2017";"Landgraaf";1450;100;38,8
"Misdrijven, totaal";"2013";"Landsmeer";540;100;51,6
"Misdrijven, totaal";"2014";"Landsmeer";500;100;47,7
"Misdrijven, totaal";"2015";"Landsmeer";475;100;43,7
"Misdrijven, totaal";"2016";"Landsmeer";495;100;45,2
"Misdrijven, totaal";"2017";"Landsmeer";420;100;37,1
"Misdrijven, totaal";"2013";"Langedijk";1325;100;49,2
"Misdrijven, totaal";"2014";"Langedijk";1120;100;41,5
"Misdrijven, totaal";"2015";"Langedijk";1120;100;41
"Misdrijven, totaal";"2016";"Langedijk";975;100;35,6
"Misdrijven, totaal";"2017";"Langedijk";880;100;31,9
"Misdrijven, totaal";"2013";"Lansingerland";2470;100;43,7
"Misdrijven, totaal";"2014";"Lansingerland";2320;100;40,6
"Misdrijven, totaal";"2015";"Lansingerland";2315;100;39,8
"Misdrijven, totaal";"2016";"Lansingerland";2330;100;39,5
"Misdrijven, totaal";"2017";"Lansingerland";1905;100;31,7
"Misdrijven, totaal";"2013";"Laren (NH.)";615;100;56,6
"Misdrijven, totaal";"2014";"Laren (NH.)";575;100;53
"Misdrijven, totaal";"2015";"Laren (NH.)";545;100;50
"Misdrijven, totaal";"2016";"Laren (NH.)";565;100;51,5
"Misdrijven, totaal";"2017";"Laren (NH.)";485;100;43,7
"Misdrijven, totaal";"2013";"Leek";670;100;34,2
"Misdrijven, totaal";"2014";"Leek";695;100;35,6
"Misdrijven, totaal";"2015";"Leek";615;100;31,7
"Misdrijven, totaal";"2016";"Leek";645;100;33,1
"Misdrijven, totaal";"2017";"Leek";525;100;26,8
"Misdrijven, totaal";"2013";"Leerdam";895;100;43,2
"Misdrijven, totaal";"2014";"Leerdam";870;100;42,2
"Misdrijven, totaal";"2015";"Leerdam";790;100;38,4
"Misdrijven, totaal";"2016";"Leerdam";850;100;41
"Misdrijven, totaal";"2017";"Leerdam";640;100;30,7
"Misdrijven, totaal";"2013";"Leeuwarden";8595;100;89,6
"Misdrijven, totaal";"2014";"Leeuwarden";8655;100;80,6
"Misdrijven, totaal";"2015";"Leeuwarden";8330;100;77,4
"Misdrijven, totaal";"2016";"Leeuwarden";7570;100;70,2
"Misdrijven, totaal";"2017";"Leeuwarden";6565;100;60,4
"Misdrijven, totaal";"2013";"Leeuwarderadeel";305;100;29,4
"Misdrijven, totaal";"2014";"Leeuwarderadeel";320;100;30,9
"Misdrijven, totaal";"2015";"Leeuwarderadeel";225;100;21,8
"Misdrijven, totaal";"2016";"Leeuwarderadeel";215;100;21
"Misdrijven, totaal";"2017";"Leeuwarderadeel";170;100;16,8
"Misdrijven, totaal";"2013";"Leiden";9855;100;82,3
"Misdrijven, totaal";"2014";"Leiden";8980;100;74,1
"Misdrijven, totaal";"2015";"Leiden";8155;100;67,1
"Misdrijven, totaal";"2016";"Leiden";7635;100;62,3
"Misdrijven, totaal";"2017";"Leiden";6875;100;55,6
"Misdrijven, totaal";"2013";"Leiderdorp";1225;100;45,7
"Misdrijven, totaal";"2014";"Leiderdorp";1025;100;38,2
"Misdrijven, totaal";"2015";"Leiderdorp";980;100;36,4
"Misdrijven, totaal";"2016";"Leiderdorp";960;100;35,5
"Misdrijven, totaal";"2017";"Leiderdorp";820;100;30,3
"Misdrijven, totaal";"2013";"Leidschendam-Voorburg";4355;100;60
"Misdrijven, totaal";"2014";"Leidschendam-Voorburg";4050;100;55,2
"Misdrijven, totaal";"2015";"Leidschendam-Voorburg";3935;100;53,2
"Misdrijven, totaal";"2016";"Leidschendam-Voorburg";3575;100;48,2
"Misdrijven, totaal";"2017";"Leidschendam-Voorburg";3185;100;42,7
"Misdrijven, totaal";"2013";"Lelystad";5065;100;66,8
"Misdrijven, totaal";"2014";"Lelystad";4740;100;62,2
"Misdrijven, totaal";"2015";"Lelystad";5095;100;66,7
"Misdrijven, totaal";"2016";"Lelystad";4600;100;59,9
"Misdrijven, totaal";"2017";"Lelystad";4230;100;55
"Misdrijven, totaal";"2013";"Lemsterland";560;100;41,4
"Misdrijven, totaal";"2014";"Lemsterland";;;
"Misdrijven, totaal";"2015";"Lemsterland";;;
"Misdrijven, totaal";"2016";"Lemsterland";;;
"Misdrijven, totaal";"2017";"Lemsterland";;;
"Misdrijven, totaal";"2013";"Leudal";1550;100;42,6
"Misdrijven, totaal";"2014";"Leudal";1465;100;40,4
"Misdrijven, totaal";"2015";"Leudal";1380;100;38,1
"Misdrijven, totaal";"2016";"Leudal";1340;100;37,1
"Misdrijven, totaal";"2017";"Leudal";1135;100;31,7
"Misdrijven, totaal";"2013";"Leusden";975;100;33,7
"Misdrijven, totaal";"2014";"Leusden";975;100;33,6
"Misdrijven, totaal";"2015";"Leusden";795;100;27,4
"Misdrijven, totaal";"2016";"Leusden";845;100;28,8
"Misdrijven, totaal";"2017";"Leusden";750;100;25,3
"Misdrijven, totaal";"2013";"Liesveld";;;
"Misdrijven, totaal";"2014";"Liesveld";;;
"Misdrijven, totaal";"2015";"Liesveld";;;
"Misdrijven, totaal";"2016";"Liesveld";;;
"Misdrijven, totaal";"2017";"Liesveld";;;
"Misdrijven, totaal";"2013";"Lingewaal";405;100;36,7
"Misdrijven, totaal";"2014";"Lingewaal";340;100;30,9
"Misdrijven, totaal";"2015";"Lingewaal";355;100;31,9
"Misdrijven, totaal";"2016";"Lingewaal";350;100;31,5
"Misdrijven, totaal";"2017";"Lingewaal";245;100;22,1
"Misdrijven, totaal";"2013";"Lingewaard";1755;100;38,3
"Misdrijven, totaal";"2014";"Lingewaard";1375;100;30,1
"Misdrijven, totaal";"2015";"Lingewaard";1225;100;26,8
"Misdrijven, totaal";"2016";"Lingewaard";1280;100;27,8
"Misdrijven, totaal";"2017";"Lingewaard";1210;100;26,2
"Misdrijven, totaal";"2013";"Lisse";1120;100;49,9
"Misdrijven, totaal";"2014";"Lisse";925;100;41,4
"Misdrijven, totaal";"2015";"Lisse";965;100;42,8
"Misdrijven, totaal";"2016";"Lisse";990;100;43,8
"Misdrijven, totaal";"2017";"Lisse";720;100;31,7
"Misdrijven, totaal";"2013";"Lith";;;
"Misdrijven, totaal";"2014";"Lith";;;
"Misdrijven, totaal";"2015";"Lith";;;
"Misdrijven, totaal";"2016";"Lith";;;
"Misdrijven, totaal";"2017";"Lith";;;
"Misdrijven, totaal";"2013";"Littenseradiel";185;100;16,9
"Misdrijven, totaal";"2014";"Littenseradiel";265;100;24,2
"Misdrijven, totaal";"2015";"Littenseradiel";230;100;21,2
"Misdrijven, totaal";"2016";"Littenseradiel";185;100;16,9
"Misdrijven, totaal";"2017";"Littenseradiel";130;100;12
"Misdrijven, totaal";"2013";"Lochem";1205;100;36,1
"Misdrijven, totaal";"2014";"Lochem";1075;100;32,3
"Misdrijven, totaal";"2015";"Lochem";1075;100;32,3
"Misdrijven, totaal";"2016";"Lochem";1000;100;30
"Misdrijven, totaal";"2017";"Lochem";855;100;25,5
"Misdrijven, totaal";"2013";"Loenen";;;
"Misdrijven, totaal";"2014";"Loenen";;;
"Misdrijven, totaal";"2015";"Loenen";;;
"Misdrijven, totaal";"2016";"Loenen";;;
"Misdrijven, totaal";"2017";"Loenen";;;
"Misdrijven, totaal";"2013";"Loon op Zand";1540;100;66,8
"Misdrijven, totaal";"2014";"Loon op Zand";1470;100;63,8
"Misdrijven, totaal";"2015";"Loon op Zand";1260;100;54,9
"Misdrijven, totaal";"2016";"Loon op Zand";1165;100;50,8
"Misdrijven, totaal";"2017";"Loon op Zand";890;100;38,5
"Misdrijven, totaal";"2013";"Lopik";365;100;26,1
"Misdrijven, totaal";"2014";"Lopik";340;100;24,2
"Misdrijven, totaal";"2015";"Lopik";285;100;20,4
"Misdrijven, totaal";"2016";"Lopik";360;100;25,6
"Misdrijven, totaal";"2017";"Lopik";345;100;24,2
"Misdrijven, totaal";"2013";"Loppersum";220;100;21,6
"Misdrijven, totaal";"2014";"Loppersum";240;100;23,6
"Misdrijven, totaal";"2015";"Loppersum";220;100;21,9
"Misdrijven, totaal";"2016";"Loppersum";230;100;22,7
"Misdrijven, totaal";"2017";"Loppersum";185;100;18,5
"Misdrijven, totaal";"2013";"Losser";855;100;37,8
"Misdrijven, totaal";"2014";"Losser";710;100;31,3
"Misdrijven, totaal";"2015";"Losser";685;100;30,5
"Misdrijven, totaal";"2016";"Losser";665;100;29,7
"Misdrijven, totaal";"2017";"Losser";575;100;25,5
"Misdrijven, totaal";"2013";"Maarssen";;;
"Misdrijven, totaal";"2014";"Maarssen";;;
"Misdrijven, totaal";"2015";"Maarssen";;;
"Misdrijven, totaal";"2016";"Maarssen";;;
"Misdrijven, totaal";"2017";"Maarssen";;;
"Misdrijven, totaal";"2013";"Maasdonk";435;100;38,8
"Misdrijven, totaal";"2014";"Maasdonk";435;100;38,6
"Misdrijven, totaal";"2015";"Maasdonk";;;
"Misdrijven, totaal";"2016";"Maasdonk";;;
"Misdrijven, totaal";"2017";"Maasdonk";;;
"Misdrijven, totaal";"2013";"Maasdriel";1170;100;48,6
"Misdrijven, totaal";"2014";"Maasdriel";1050;100;43,5
"Misdrijven, totaal";"2015";"Maasdriel";950;100;39,3
"Misdrijven, totaal";"2016";"Maasdriel";920;100;38,2
"Misdrijven, totaal";"2017";"Maasdriel";790;100;32,5
"Misdrijven, totaal";"2013";"Maasgouw";1075;100;44,8
"Misdrijven, totaal";"2014";"Maasgouw";940;100;39,3
"Misdrijven, totaal";"2015";"Maasgouw";790;100;33,3
"Misdrijven, totaal";"2016";"Maasgouw";815;100;34,3
"Misdrijven, totaal";"2017";"Maasgouw";725;100;30,6
"Misdrijven, totaal";"2013";"Maassluis";1615;100;50,5
"Misdrijven, totaal";"2014";"Maassluis";1565;100;48,8
"Misdrijven, totaal";"2015";"Maassluis";1605;100;49,8
"Misdrijven, totaal";"2016";"Maassluis";1650;100;51,1
"Misdrijven, totaal";"2017";"Maassluis";1475;100;45,5
"Misdrijven, totaal";"2013";"Maastricht";13195;100;108,3
"Misdrijven, totaal";"2014";"Maastricht";13360;100;109,1
"Misdrijven, totaal";"2015";"Maastricht";11465;100;93,7
"Misdrijven, totaal";"2016";"Maastricht";9635;100;78,6
"Misdrijven, totaal";"2017";"Maastricht";8985;100;73,2
"Misdrijven, totaal";"2013";"Margraten";;;
"Misdrijven, totaal";"2014";"Margraten";;;
"Misdrijven, totaal";"2015";"Margraten";;;
"Misdrijven, totaal";"2016";"Margraten";;;
"Misdrijven, totaal";"2017";"Margraten";;;
"Misdrijven, totaal";"2013";"De Marne";275;100;26,4
"Misdrijven, totaal";"2014";"De Marne";325;100;31,6
"Misdrijven, totaal";"2015";"De Marne";270;100;26,8
"Misdrijven, totaal";"2016";"De Marne";250;100;24,8
"Misdrijven, totaal";"2017";"De Marne";210;100;20,8
"Misdrijven, totaal";"2013";"Marum";325;100;31,3
"Misdrijven, totaal";"2014";"Marum";330;100;31,8
"Misdrijven, totaal";"2015";"Marum";285;100;27,8
"Misdrijven, totaal";"2016";"Marum";255;100;24,6
"Misdrijven, totaal";"2017";"Marum";235;100;22,4
"Misdrijven, totaal";"2013";"Medemblik";1995;100;46,1
"Misdrijven, totaal";"2014";"Medemblik";1785;100;41,3
"Misdrijven, totaal";"2015";"Medemblik";1520;100;34,9
"Misdrijven, totaal";"2016";"Medemblik";1350;100;30,8
"Misdrijven, totaal";"2017";"Medemblik";1160;100;26,4
"Misdrijven, totaal";"2013";"Meerssen";1075;100;55,4
"Misdrijven, totaal";"2014";"Meerssen";1115;100;58
"Misdrijven, totaal";"2015";"Meerssen";800;100;41,9
"Misdrijven, totaal";"2016";"Meerssen";830;100;43,6
"Misdrijven, totaal";"2017";"Meerssen";665;100;34,9
"Misdrijven, totaal";"2013";"Meierijstad";;;
"Misdrijven, totaal";"2014";"Meierijstad";;;
"Misdrijven, totaal";"2015";"Meierijstad";;;
"Misdrijven, totaal";"2016";"Meierijstad";;;
"Misdrijven, totaal";"2017";"Meierijstad";2530;100;31,7
"Misdrijven, totaal";"2013";"Menaldumadeel";;;
"Misdrijven, totaal";"2014";"Menaldumadeel";;;
"Misdrijven, totaal";"2015";"Menaldumadeel";;;
"Misdrijven, totaal";"2016";"Menaldumadeel";;;
"Misdrijven, totaal";"2017";"Menaldumadeel";;;
"Misdrijven, totaal";"2013";"Menameradiel";375;100;27,4
"Misdrijven, totaal";"2014";"Menameradiel";285;100;20,8
"Misdrijven, totaal";"2015";"Menameradiel";320;100;23,7
"Misdrijven, totaal";"2016";"Menameradiel";275;100;20,4
"Misdrijven, totaal";"2017";"Menameradiel";65;100;
"Misdrijven, totaal";"2013";"Menterwolde";420;100;33,8
"Misdrijven, totaal";"2014";"Menterwolde";320;100;26,1
"Misdrijven, totaal";"2015";"Menterwolde";350;100;28,7
"Misdrijven, totaal";"2016";"Menterwolde";310;100;25,3
"Misdrijven, totaal";"2017";"Menterwolde";295;100;24,2
"Misdrijven, totaal";"2013";"Meppel";1635;100;50
"Misdrijven, totaal";"2014";"Meppel";1650;100;50,1
"Misdrijven, totaal";"2015";"Meppel";1605;100;48,9
"Misdrijven, totaal";"2016";"Meppel";1315;100;40,1
"Misdrijven, totaal";"2017";"Meppel";1105;100;33,5
"Misdrijven, totaal";"2013";"Middelburg (Z.)";2860;100;60,1
"Misdrijven, totaal";"2014";"Middelburg (Z.)";2465;100;51,7
"Misdrijven, totaal";"2015";"Middelburg (Z.)";2550;100;53,6
"Misdrijven, totaal";"2016";"Middelburg (Z.)";2290;100;47,9
"Misdrijven, totaal";"2017";"Middelburg (Z.)";2120;100;44,2
"Misdrijven, totaal";"2013";"Middelharnis";;;
"Misdrijven, totaal";"2014";"Middelharnis";;;
"Misdrijven, totaal";"2015";"Middelharnis";;;
"Misdrijven, totaal";"2016";"Middelharnis";;;
"Misdrijven, totaal";"2017";"Middelharnis";;;
"Misdrijven, totaal";"2013";"Midden-Delfland";650;100;35,6
"Misdrijven, totaal";"2014";"Midden-Delfland";700;100;38
"Misdrijven, totaal";"2015";"Midden-Delfland";570;100;30,5
"Misdrijven, totaal";"2016";"Midden-Delfland";570;100;30,2
"Misdrijven, totaal";"2017";"Midden-Delfland";575;100;30,2
"Misdrijven, totaal";"2013";"Midden-Drenthe";1250;100;37,5
"Misdrijven, totaal";"2014";"Midden-Drenthe";1135;100;34,1
"Misdrijven, totaal";"2015";"Midden-Drenthe";1040;100;31,2
"Misdrijven, totaal";"2016";"Midden-Drenthe";1020;100;30,5
"Misdrijven, totaal";"2017";"Midden-Drenthe";785;100;23,6
"Misdrijven, totaal";"2013";"Midden-Groningen";;;
"Misdrijven, totaal";"2014";"Midden-Groningen";;;
"Misdrijven, totaal";"2015";"Midden-Groningen";;;
"Misdrijven, totaal";"2016";"Midden-Groningen";;;
"Misdrijven, totaal";"2017";"Midden-Groningen";;;
"Misdrijven, totaal";"2013";"Mill en Sint Hubert";310;100;28,3
"Misdrijven, totaal";"2014";"Mill en Sint Hubert";260;100;23,8
"Misdrijven, totaal";"2015";"Mill en Sint Hubert";300;100;27,5
"Misdrijven, totaal";"2016";"Mill en Sint Hubert";295;100;27,4
"Misdrijven, totaal";"2017";"Mill en Sint Hubert";220;100;20,4
"Misdrijven, totaal";"2013";"Millingen aan de Rijn";140;100;23,5
"Misdrijven, totaal";"2014";"Millingen aan de Rijn";120;100;20,3
"Misdrijven, totaal";"2015";"Millingen aan de Rijn";;;
"Misdrijven, totaal";"2016";"Millingen aan de Rijn";;;
"Misdrijven, totaal";"2017";"Millingen aan de Rijn";;;
"Misdrijven, totaal";"2013";"Moerdijk";2220;100;60,6
"Misdrijven, totaal";"2014";"Moerdijk";1870;100;50,9
"Misdrijven, totaal";"2015";"Moerdijk";1740;100;47,3
"Misdrijven, totaal";"2016";"Moerdijk";1650;100;44,8
"Misdrijven, totaal";"2017";"Moerdijk";1395;100;37,8
"Misdrijven, totaal";"2013";"Molenlanden";;;
"Misdrijven, totaal";"2014";"Molenlanden";;;
"Misdrijven, totaal";"2015";"Molenlanden";;;
"Misdrijven, totaal";"2016";"Molenlanden";;;
"Misdrijven, totaal";"2017";"Molenlanden";;;
"Misdrijven, totaal";"2013";"Molenwaard";735;100;25,2
"Misdrijven, totaal";"2014";"Molenwaard";635;100;21,8
"Misdrijven, totaal";"2015";"Molenwaard";600;100;20,7
"Misdrijven, totaal";"2016";"Molenwaard";525;100;18,1
"Misdrijven, totaal";"2017";"Molenwaard";435;100;14,9
"Misdrijven, totaal";"2013";"Montferland";1280;100;36,7
"Misdrijven, totaal";"2014";"Montferland";1200;100;34,2
"Misdrijven, totaal";"2015";"Montferland";1165;100;33,2
"Misdrijven, totaal";"2016";"Montferland";1300;100;36,9
"Misdrijven, totaal";"2017";"Montferland";1005;100;28,5
"Misdrijven, totaal";"2013";"Montfoort";380;100;27,8
"Misdrijven, totaal";"2014";"Montfoort";375;100;27,4
"Misdrijven, totaal";"2015";"Montfoort";355;100;26,1
"Misdrijven, totaal";"2016";"Montfoort";320;100;23,3
"Misdrijven, totaal";"2017";"Montfoort";325;100;23,4
"Misdrijven, totaal";"2013";"Mook en Middelaar";340;100;43,2
"Misdrijven, totaal";"2014";"Mook en Middelaar";320;100;41,3
"Misdrijven, totaal";"2015";"Mook en Middelaar";290;100;37,1
"Misdrijven, totaal";"2016";"Mook en Middelaar";280;100;36,4
"Misdrijven, totaal";"2017";"Mook en Middelaar";255;100;32,9
"Misdrijven, totaal";"2013";"Muiden";660;100;102,9
"Misdrijven, totaal";"2014";"Muiden";545;100;86,5
"Misdrijven, totaal";"2015";"Muiden";490;100;78,3
"Misdrijven, totaal";"2016";"Muiden";;;
"Misdrijven, totaal";"2017";"Muiden";;;
"Misdrijven, totaal";"2013";"Naarden";980;100;56,7
"Misdrijven, totaal";"2014";"Naarden";770;100;44,8
"Misdrijven, totaal";"2015";"Naarden";795;100;46,3
"Misdrijven, totaal";"2016";"Naarden";;;
"Misdrijven, totaal";"2017";"Naarden";;;
"Misdrijven, totaal";"2013";"Neder-Betuwe";930;100;41,1
"Misdrijven, totaal";"2014";"Neder-Betuwe";745;100;32,9
"Misdrijven, totaal";"2015";"Neder-Betuwe";800;100;35,2
"Misdrijven, totaal";"2016";"Neder-Betuwe";795;100;34,4
"Misdrijven, totaal";"2017";"Neder-Betuwe";685;100;29,3
"Misdrijven, totaal";"2013";"Nederlek";490;100;34,8
"Misdrijven, totaal";"2014";"Nederlek";345;100;24,6
"Misdrijven, totaal";"2015";"Nederlek";;;
"Misdrijven, totaal";"2016";"Nederlek";;;
"Misdrijven, totaal";"2017";"Nederlek";;;
"Misdrijven, totaal";"2013";"Nederweert";515;100;30,8
"Misdrijven, totaal";"2014";"Nederweert";465;100;27,7
"Misdrijven, totaal";"2015";"Nederweert";515;100;30,6
"Misdrijven, totaal";"2016";"Nederweert";455;100;27
"Misdrijven, totaal";"2017";"Nederweert";445;100;26,4
"Misdrijven, totaal";"2013";"Neerijnen";445;100;37,1
"Misdrijven, totaal";"2014";"Neerijnen";400;100;33,2
"Misdrijven, totaal";"2015";"Neerijnen";405;100;33,6
"Misdrijven, totaal";"2016";"Neerijnen";320;100;26,4
"Misdrijven, totaal";"2017";"Neerijnen";270;100;22
"Misdrijven, totaal";"2013";"Niedorp";;;
"Misdrijven, totaal";"2014";"Niedorp";;;
"Misdrijven, totaal";"2015";"Niedorp";;;
"Misdrijven, totaal";"2016";"Niedorp";;;
"Misdrijven, totaal";"2017";"Niedorp";;;
"Misdrijven, totaal";"2013";"Nieuwegein";4160;100;68,3
"Misdrijven, totaal";"2014";"Nieuwegein";3800;100;62,2
"Misdrijven, totaal";"2015";"Nieuwegein";4255;100;69,5
"Misdrijven, totaal";"2016";"Nieuwegein";4320;100;69,9
"Misdrijven, totaal";"2017";"Nieuwegein";3680;100;59,4
"Misdrijven, totaal";"2013";"Nieuwkoop";735;100;27,2
"Misdrijven, totaal";"2014";"Nieuwkoop";700;100;25,9
"Misdrijven, totaal";"2015";"Nieuwkoop";645;100;23,8
"Misdrijven, totaal";"2016";"Nieuwkoop";685;100;25
"Misdrijven, totaal";"2017";"Nieuwkoop";770;100;27,5
"Misdrijven, totaal";"2013";"Nieuw-Lekkerland";;;
"Misdrijven, totaal";"2014";"Nieuw-Lekkerland";;;
"Misdrijven, totaal";"2015";"Nieuw-Lekkerland";;;
"Misdrijven, totaal";"2016";"Nieuw-Lekkerland";;;
"Misdrijven, totaal";"2017";"Nieuw-Lekkerland";;;
"Misdrijven, totaal";"2013";"Nijefurd";;;
"Misdrijven, totaal";"2014";"Nijefurd";;;
"Misdrijven, totaal";"2015";"Nijefurd";;;
"Misdrijven, totaal";"2016";"Nijefurd";;;
"Misdrijven, totaal";"2017";"Nijefurd";;;
"Misdrijven, totaal";"2013";"Nijkerk";1715;100;42,5
"Misdrijven, totaal";"2014";"Nijkerk";1455;100;35,8
"Misdrijven, totaal";"2015";"Nijkerk";1380;100;33,7
"Misdrijven, totaal";"2016";"Nijkerk";1475;100;35,8
"Misdrijven, totaal";"2017";"Nijkerk";1220;100;29,2
"Misdrijven, totaal";"2013";"Nijmegen";16660;100;100,1
"Misdrijven, totaal";"2014";"Nijmegen";14275;100;84,8
"Misdrijven, totaal";"2015";"Nijmegen";13440;100;78,7
"Misdrijven, totaal";"2016";"Nijmegen";13020;100;75,7
"Misdrijven, totaal";"2017";"Nijmegen";11590;100;66,8
"Misdrijven, totaal";"2013";"Nissewaard";;;
"Misdrijven, totaal";"2014";"Nissewaard";;;
"Misdrijven, totaal";"2015";"Nissewaard";4615;100;54,2
"Misdrijven, totaal";"2016";"Nissewaard";4175;100;49
"Misdrijven, totaal";"2017";"Nissewaard";3895;100;45,6
"Misdrijven, totaal";"2013";"Noardeast-Fryslân";;;
