,Provincie,Regio's,Perioden,Bedrijfstak_code,Bedrijfstak,Vestigingen (aantal),Aantal_vestigingen_genormaliseerd,Vestigingen Klasse
113,Drenthe,Assen,2017,L,Verhuur en handel van onroerend goed,60.0,0.0016533480297602646,Middel
114,Drenthe,Assen,2017,M,Specialistische zakelijke diensten,920.0,0.025351336456324057,Hoog
115,Drenthe,Assen,2017,N,Verhuur en overige zakelijke diensten,215.0,0.005924497106640948,Hoog
116,Drenthe,Assen,2017,R,"Cultuur, sport en recreatie",260.0,0.0071645081289611464,Hoog
117,Drenthe,Assen,2017,S,Overige dienstverlening,390.0,0.01074676219344172,Hoog
118,Drenthe,Assen,2017,U,Extraterritoriale organisaties,0.0,0.0,Geen
119,Drenthe,Assen,2018,A,"Landbouw, bosbouw en visserij",80.0,0.002204464039680353,Middel-Hoog
120,Drenthe,Assen,2018,B,Delfstoffenwinning,5.0,0.00013777900248002206,Middel
121,Drenthe,Assen,2018,C,Industrie,175.0,0.0048222650868007715,Middel-Hoog
122,Drenthe,Assen,2018,D,Energievoorziening,0.0,0.0,Geen
123,Drenthe,Assen,2018,E,Waterbedrijven en afvalbeheer,5.0,0.00013777900248002206,Middel
124,Drenthe,Assen,2018,F,Bouwnijverheid,340.0,0.0093689721686415,Hoog
125,Drenthe,Assen,2018,G,Handel,975.0,0.0268669054836043,Hoog
126,Drenthe,Assen,2018,H,Vervoer en opslag,95.0,0.002617801047120419,Middel-Hoog
127,Drenthe,Assen,2018,I,Horeca,175.0,0.0048222650868007715,Middel-Hoog
128,Drenthe,Assen,2018,J,Informatie en communicatie,305.0,0.008404519151281344,Hoog
129,Drenthe,Assen,2018,K,Financiële dienstverlening,305.0,0.008404519151281344,Hoog
130,Drenthe,Assen,2018,L,Verhuur en handel van onroerend goed,60.0,0.0016533480297602646,Middel
131,Drenthe,Assen,2018,M,Specialistische zakelijke diensten,945.0,0.026040231468724168,Hoog
132,Drenthe,Assen,2018,N,Verhuur en overige zakelijke diensten,230.0,0.006337834114081014,Hoog
133,Drenthe,Assen,2018,R,"Cultuur, sport en recreatie",280.0,0.0077156241388812346,Hoog
134,Drenthe,Assen,2018,S,Overige dienstverlening,400.0,0.011022320198401764,Hoog
135,Drenthe,Assen,2018,U,Extraterritoriale organisaties,0.0,0.0,Geen
136,Drenthe,Borger-Odoorn,2015,A,"Landbouw, bosbouw en visserij",295.0,0.008128961146321301,Hoog
137,Drenthe,Borger-Odoorn,2015,B,Delfstoffenwinning,5.0,0.00013777900248002206,Middel
138,Drenthe,Borger-Odoorn,2015,C,Industrie,90.0,0.002480022044640397,Middel-Hoog
139,Drenthe,Borger-Odoorn,2015,D,Energievoorziening,0.0,0.0,Geen
140,Drenthe,Borger-Odoorn,2015,E,Waterbedrijven en afvalbeheer,0.0,0.0,Geen
141,Drenthe,Borger-Odoorn,2015,F,Bouwnijverheid,230.0,0.006337834114081014,Hoog
142,Drenthe,Borger-Odoorn,2015,G,Handel,380.0,0.010471204188481676,Hoog
143,Drenthe,Borger-Odoorn,2015,H,Vervoer en opslag,65.0,0.0017911270322402866,Geen
144,Drenthe,Borger-Odoorn,2015,I,Horeca,115.0,0.003168917057040507,Middel-Hoog
145,Drenthe,Borger-Odoorn,2015,J,Informatie en communicatie,70.0,0.0019289060347203086,Middel-Hoog
146,Drenthe,Borger-Odoorn,2015,K,Financiële dienstverlening,130.0,0.0035822540644805732,Middel-Hoog
147,Drenthe,Borger-Odoorn,2015,L,Verhuur en handel van onroerend goed,25.0,0.0006888950124001103,Middel
148,Drenthe,Borger-Odoorn,2015,M,Specialistische zakelijke diensten,290.0,0.007991182143841279,Hoog
149,Drenthe,Borger-Odoorn,2015,N,Verhuur en overige zakelijke diensten,95.0,0.002617801047120419,Middel-Hoog
150,Drenthe,Borger-Odoorn,2015,R,"Cultuur, sport en recreatie",85.0,0.002342243042160375,Middel-Hoog
151,Drenthe,Borger-Odoorn,2015,S,Overige dienstverlening,165.0,0.004546707081840727,Middel-Hoog
152,Drenthe,Borger-Odoorn,2015,U,Extraterritoriale organisaties,0.0,0.0,Geen
153,Drenthe,Borger-Odoorn,2016,A,"Landbouw, bosbouw en visserij",310.0,0.008542298153761367,Hoog
154,Drenthe,Borger-Odoorn,2016,B,Delfstoffenwinning,5.0,0.00013777900248002206,Middel
155,Drenthe,Borger-Odoorn,2016,C,Industrie,95.0,0.002617801047120419,Middel-Hoog
156,Drenthe,Borger-Odoorn,2016,D,Energievoorziening,0.0,0.0,Geen
157,Drenthe,Borger-Odoorn,2016,E,Waterbedrijven en afvalbeheer,0.0,0.0,Geen
158,Drenthe,Borger-Odoorn,2016,F,Bouwnijverheid,250.0,0.006888950124001102,Hoog
159,Drenthe,Borger-Odoorn,2016,G,Handel,400.0,0.011022320198401764,Hoog
160,Drenthe,Borger-Odoorn,2016,H,Vervoer en opslag,65.0,0.0017911270322402866,Geen
161,Drenthe,Borger-Odoorn,2016,I,Horeca,115.0,0.003168917057040507,Middel-Hoog
162,Drenthe,Borger-Odoorn,2016,J,Informatie en communicatie,75.0,0.002066685037200331,Middel-Hoog
163,Drenthe,Borger-Odoorn,2016,K,Financiële dienstverlening,130.0,0.0035822540644805732,Middel-Hoog
164,Drenthe,Borger-Odoorn,2016,L,Verhuur en handel van onroerend goed,30.0,0.0008266740148801323,Middel
165,Drenthe,Borger-Odoorn,2016,M,Specialistische zakelijke diensten,320.0,0.008817856158721412,Hoog
166,Drenthe,Borger-Odoorn,2016,N,Verhuur en overige zakelijke diensten,90.0,0.002480022044640397,Middel-Hoog
167,Drenthe,Borger-Odoorn,2016,R,"Cultuur, sport en recreatie",85.0,0.002342243042160375,Middel-Hoog
168,Drenthe,Borger-Odoorn,2016,S,Overige dienstverlening,175.0,0.0048222650868007715,Middel-Hoog
169,Drenthe,Borger-Odoorn,2016,U,Extraterritoriale organisaties,0.0,0.0,Geen
170,Drenthe,Borger-Odoorn,2017,A,"Landbouw, bosbouw en visserij",315.0,0.00868007715624139,Hoog
171,Drenthe,Borger-Odoorn,2017,B,Delfstoffenwinning,5.0,0.00013777900248002206,Middel
172,Drenthe,Borger-Odoorn,2017,C,Industrie,105.0,0.002893359052080463,Middel-Hoog
173,Drenthe,Borger-Odoorn,2017,D,Energievoorziening,0.0,0.0,Geen
174,Drenthe,Borger-Odoorn,2017,E,Waterbedrijven en afvalbeheer,0.0,0.0,Geen
175,Drenthe,Borger-Odoorn,2017,F,Bouwnijverheid,260.0,0.0071645081289611464,Hoog
176,Drenthe,Borger-Odoorn,2017,G,Handel,400.0,0.011022320198401764,Hoog
177,Drenthe,Borger-Odoorn,2017,H,Vervoer en opslag,70.0,0.0019289060347203086,Middel-Hoog
178,Drenthe,Borger-Odoorn,2017,I,Horeca,110.0,0.003031138054560485,Middel-Hoog
179,Drenthe,Borger-Odoorn,2017,J,Informatie en communicatie,70.0,0.0019289060347203086,Middel-Hoog
180,Drenthe,Borger-Odoorn,2017,K,Financiële dienstverlening,135.0,0.0037200330669605952,Middel-Hoog
181,Drenthe,Borger-Odoorn,2017,L,Verhuur en handel van onroerend goed,30.0,0.0008266740148801323,Middel
