,Provincie,Regio's,Perioden,Bedrijfstak_code,Bedrijfstak,Vestigingen (aantal),Aantal_vestigingen_genormaliseerd,Vestigingen Klasse
19964,Noord-Holland,Texel,2017,G,Handel,305.0,0.008404519151281344,Hoog
19965,Noord-Holland,Texel,2017,H,Vervoer en opslag,50.0,0.0013777900248002205,Middel
19966,Noord-Holland,Texel,2017,I,Horeca,280.0,0.0077156241388812346,Hoog
19967,Noord-Holland,Texel,2017,J,Informatie en communicatie,65.0,0.0017911270322402866,Geen
19968,Noord-Holland,Texel,2017,K,Financiële dienstverlening,130.0,0.0035822540644805732,Middel-Hoog
19969,Noord-Holland,Texel,2017,L,Verhuur en handel van onroerend goed,50.0,0.0013777900248002205,Middel
19970,Noord-Holland,Texel,2017,M,Specialistische zakelijke diensten,245.0,0.00675117112152108,Hoog
19971,Noord-Holland,Texel,2017,N,Verhuur en overige zakelijke diensten,80.0,0.002204464039680353,Middel-Hoog
19972,Noord-Holland,Texel,2017,R,"Cultuur, sport en recreatie",110.0,0.003031138054560485,Middel-Hoog
19973,Noord-Holland,Texel,2017,S,Overige dienstverlening,110.0,0.003031138054560485,Middel-Hoog
19974,Noord-Holland,Texel,2017,U,Extraterritoriale organisaties,0.0,0.0,Geen
19975,Noord-Holland,Texel,2018,A,"Landbouw, bosbouw en visserij",295.0,0.008128961146321301,Hoog
19976,Noord-Holland,Texel,2018,B,Delfstoffenwinning,0.0,0.0,Geen
19977,Noord-Holland,Texel,2018,C,Industrie,100.0,0.002755580049600441,Middel-Hoog
19978,Noord-Holland,Texel,2018,D,Energievoorziening,5.0,0.00013777900248002206,Middel
19979,Noord-Holland,Texel,2018,E,Waterbedrijven en afvalbeheer,0.0,0.0,Geen
19980,Noord-Holland,Texel,2018,F,Bouwnijverheid,190.0,0.005235602094240838,Geen
19981,Noord-Holland,Texel,2018,G,Handel,295.0,0.008128961146321301,Hoog
19982,Noord-Holland,Texel,2018,H,Vervoer en opslag,50.0,0.0013777900248002205,Middel
19983,Noord-Holland,Texel,2018,I,Horeca,300.0,0.008266740148801324,Hoog
19984,Noord-Holland,Texel,2018,J,Informatie en communicatie,55.0,0.0015155690272802425,Middel
19985,Noord-Holland,Texel,2018,K,Financiële dienstverlening,140.0,0.0038578120694406173,Middel-Hoog
19986,Noord-Holland,Texel,2018,L,Verhuur en handel van onroerend goed,50.0,0.0013777900248002205,Middel
19987,Noord-Holland,Texel,2018,M,Specialistische zakelijke diensten,260.0,0.0071645081289611464,Hoog
19988,Noord-Holland,Texel,2018,N,Verhuur en overige zakelijke diensten,85.0,0.002342243042160375,Middel-Hoog
19989,Noord-Holland,Texel,2018,R,"Cultuur, sport en recreatie",120.0,0.003306696059520529,Middel-Hoog
19990,Noord-Holland,Texel,2018,S,Overige dienstverlening,115.0,0.003168917057040507,Middel-Hoog
19991,Noord-Holland,Texel,2018,U,Extraterritoriale organisaties,0.0,0.0,Geen
19992,Noord-Holland,Uitgeest,2015,A,"Landbouw, bosbouw en visserij",25.0,0.0006888950124001103,Middel
19993,Noord-Holland,Uitgeest,2015,B,Delfstoffenwinning,0.0,0.0,Geen
19994,Noord-Holland,Uitgeest,2015,C,Industrie,65.0,0.0017911270322402866,Geen
19995,Noord-Holland,Uitgeest,2015,D,Energievoorziening,0.0,0.0,Geen
19996,Noord-Holland,Uitgeest,2015,E,Waterbedrijven en afvalbeheer,0.0,0.0,Geen
19997,Noord-Holland,Uitgeest,2015,F,Bouwnijverheid,165.0,0.004546707081840727,Middel-Hoog
19998,Noord-Holland,Uitgeest,2015,G,Handel,160.0,0.004408928079360706,Middel-Hoog
19999,Noord-Holland,Uitgeest,2015,H,Vervoer en opslag,15.0,0.00041333700744006614,Middel
20000,Noord-Holland,Uitgeest,2015,I,Horeca,20.0,0.0005511160099200882,Middel
20001,Noord-Holland,Uitgeest,2015,J,Informatie en communicatie,50.0,0.0013777900248002205,Middel
20002,Noord-Holland,Uitgeest,2015,K,Financiële dienstverlening,100.0,0.002755580049600441,Middel-Hoog
20003,Noord-Holland,Uitgeest,2015,L,Verhuur en handel van onroerend goed,20.0,0.0005511160099200882,Middel
20004,Noord-Holland,Uitgeest,2015,M,Specialistische zakelijke diensten,225.0,0.006200055111600992,Hoog
20005,Noord-Holland,Uitgeest,2015,N,Verhuur en overige zakelijke diensten,45.0,0.0012400110223201985,Middel
20006,Noord-Holland,Uitgeest,2015,R,"Cultuur, sport en recreatie",55.0,0.0015155690272802425,Middel
20007,Noord-Holland,Uitgeest,2015,S,Overige dienstverlening,50.0,0.0013777900248002205,Middel
20008,Noord-Holland,Uitgeest,2015,U,Extraterritoriale organisaties,0.0,0.0,Geen
20009,Noord-Holland,Uitgeest,2016,A,"Landbouw, bosbouw en visserij",30.0,0.0008266740148801323,Middel
20010,Noord-Holland,Uitgeest,2016,B,Delfstoffenwinning,0.0,0.0,Geen
20011,Noord-Holland,Uitgeest,2016,C,Industrie,65.0,0.0017911270322402866,Geen
20012,Noord-Holland,Uitgeest,2016,D,Energievoorziening,0.0,0.0,Geen
20013,Noord-Holland,Uitgeest,2016,E,Waterbedrijven en afvalbeheer,0.0,0.0,Geen
20014,Noord-Holland,Uitgeest,2016,F,Bouwnijverheid,170.0,0.00468448608432075,Middel-Hoog
20015,Noord-Holland,Uitgeest,2016,G,Handel,175.0,0.0048222650868007715,Middel-Hoog
20016,Noord-Holland,Uitgeest,2016,H,Vervoer en opslag,20.0,0.0005511160099200882,Middel
20017,Noord-Holland,Uitgeest,2016,I,Horeca,25.0,0.0006888950124001103,Middel
20018,Noord-Holland,Uitgeest,2016,J,Informatie en communicatie,45.0,0.0012400110223201985,Middel
20019,Noord-Holland,Uitgeest,2016,K,Financiële dienstverlening,95.0,0.002617801047120419,Middel-Hoog
20020,Noord-Holland,Uitgeest,2016,L,Verhuur en handel van onroerend goed,15.0,0.00041333700744006614,Middel
20021,Noord-Holland,Uitgeest,2016,M,Specialistische zakelijke diensten,230.0,0.006337834114081014,Hoog
20022,Noord-Holland,Uitgeest,2016,N,Verhuur en overige zakelijke diensten,55.0,0.0015155690272802425,Middel
20023,Noord-Holland,Uitgeest,2016,R,"Cultuur, sport en recreatie",60.0,0.0016533480297602646,Middel
20024,Noord-Holland,Uitgeest,2016,S,Overige dienstverlening,60.0,0.0016533480297602646,Middel
20025,Noord-Holland,Uitgeest,2016,U,Extraterritoriale organisaties,0.0,0.0,Geen
20026,Noord-Holland,Uitgeest,2017,A,"Landbouw, bosbouw en visserij",30.0,0.0008266740148801323,Middel
20027,Noord-Holland,Uitgeest,2017,B,Delfstoffenwinning,0.0,0.0,Geen
20028,Noord-Holland,Uitgeest,2017,C,Industrie,65.0,0.0017911270322402866,Geen
20029,Noord-Holland,Uitgeest,2017,D,Energievoorziening,0.0,0.0,Geen
20030,Noord-Holland,Uitgeest,2017,E,Waterbedrijven en afvalbeheer,0.0,0.0,Geen
20031,Noord-Holland,Uitgeest,2017,F,Bouwnijverheid,175.0,0.0048222650868007715,Middel-Hoog
20032,Noord-Holland,Uitgeest,2017,G,Handel,195.0,0.00537338109672086,Hoog
20033,Noord-Holland,Uitgeest,2017,H,Vervoer en opslag,15.0,0.00041333700744006614,Middel
20034,Noord-Holland,Uitgeest,2017,I,Horeca,25.0,0.0006888950124001103,Middel
20035,Noord-Holland,Uitgeest,2017,J,Informatie en communicatie,50.0,0.0013777900248002205,Middel
20036,Noord-Holland,Uitgeest,2017,K,Financiële dienstverlening,105.0,0.002893359052080463,Middel-Hoog
20037,Noord-Holland,Uitgeest,2017,L,Verhuur en handel van onroerend goed,15.0,0.00041333700744006614,Middel
20038,Noord-Holland,Uitgeest,2017,M,Specialistische zakelijke diensten,230.0,0.006337834114081014,Hoog
20039,Noord-Holland,Uitgeest,2017,N,Verhuur en overige zakelijke diensten,55.0,0.0015155690272802425,Middel
20040,Noord-Holland,Uitgeest,2017,R,"Cultuur, sport en recreatie",60.0,0.0016533480297602646,Middel
20041,Noord-Holland,Uitgeest,2017,S,Overige dienstverlening,70.0,0.0019289060347203086,Middel-Hoog
20042,Noord-Holland,Uitgeest,2017,U,Extraterritoriale organisaties,0.0,0.0,Geen
20043,Noord-Holland,Uitgeest,2018,A,"Landbouw, bosbouw en visserij",30.0,0.0008266740148801323,Middel
20044,Noord-Holland,Uitgeest,2018,B,Delfstoffenwinning,0.0,0.0,Geen
20045,Noord-Holland,Uitgeest,2018,C,Industrie,65.0,0.0017911270322402866,Geen
20046,Noord-Holland,Uitgeest,2018,D,Energievoorziening,0.0,0.0,Geen
20047,Noord-Holland,Uitgeest,2018,E,Waterbedrijven en afvalbeheer,5.0,0.00013777900248002206,Middel
20048,Noord-Holland,Uitgeest,2018,F,Bouwnijverheid,180.0,0.004960044089280794,Middel-Hoog
20049,Noord-Holland,Uitgeest,2018,G,Handel,200.0,0.005511160099200882,Hoog
20050,Noord-Holland,Uitgeest,2018,H,Vervoer en opslag,20.0,0.0005511160099200882,Middel
20051,Noord-Holland,Uitgeest,2018,I,Horeca,25.0,0.0006888950124001103,Middel
20052,Noord-Holland,Uitgeest,2018,J,Informatie en communicatie,55.0,0.0015155690272802425,Middel
20053,Noord-Holland,Uitgeest,2018,K,Financiële dienstverlening,105.0,0.002893359052080463,Middel-Hoog
20054,Noord-Holland,Uitgeest,2018,L,Verhuur en handel van onroerend goed,15.0,0.00041333700744006614,Middel
20055,Noord-Holland,Uitgeest,2018,M,Specialistische zakelijke diensten,245.0,0.00675117112152108,Hoog
20056,Noord-Holland,Uitgeest,2018,N,Verhuur en overige zakelijke diensten,65.0,0.0017911270322402866,Geen
20057,Noord-Holland,Uitgeest,2018,R,"Cultuur, sport en recreatie",60.0,0.0016533480297602646,Middel
20058,Noord-Holland,Uitgeest,2018,S,Overige dienstverlening,70.0,0.0019289060347203086,Middel-Hoog
20059,Noord-Holland,Uitgeest,2018,U,Extraterritoriale organisaties,0.0,0.0,Geen
20060,Noord-Holland,Uithoorn,2015,A,"Landbouw, bosbouw en visserij",135.0,0.0037200330669605952,Middel-Hoog
20061,Noord-Holland,Uithoorn,2015,B,Delfstoffenwinning,0.0,0.0,Geen
20062,Noord-Holland,Uithoorn,2015,C,Industrie,100.0,0.002755580049600441,Middel-Hoog
20063,Noord-Holland,Uithoorn,2015,D,Energievoorziening,5.0,0.00013777900248002206,Middel
20064,Noord-Holland,Uithoorn,2015,E,Waterbedrijven en afvalbeheer,5.0,0.00013777900248002206,Middel
20065,Noord-Holland,Uithoorn,2015,F,Bouwnijverheid,235.0,0.006475613116561036,Hoog
20066,Noord-Holland,Uithoorn,2015,G,Handel,515.0,0.01419123725544227,Hoog
20067,Noord-Holland,Uithoorn,2015,H,Vervoer en opslag,65.0,0.0017911270322402866,Geen
20068,Noord-Holland,Uithoorn,2015,I,Horeca,55.0,0.0015155690272802425,Middel
20069,Noord-Holland,Uithoorn,2015,J,Informatie en communicatie,140.0,0.0038578120694406173,Middel-Hoog
20070,Noord-Holland,Uithoorn,2015,K,Financiële dienstverlening,285.0,0.007853403141361256,Hoog
20071,Noord-Holland,Uithoorn,2015,L,Verhuur en handel van onroerend goed,40.0,0.0011022320198401765,Middel
20072,Noord-Holland,Uithoorn,2015,M,Specialistische zakelijke diensten,520.0,0.014329016257922293,Hoog
20073,Noord-Holland,Uithoorn,2015,N,Verhuur en overige zakelijke diensten,135.0,0.0037200330669605952,Middel-Hoog
20074,Noord-Holland,Uithoorn,2015,R,"Cultuur, sport en recreatie",110.0,0.003031138054560485,Middel-Hoog
20075,Noord-Holland,Uithoorn,2015,S,Overige dienstverlening,160.0,0.004408928079360706,Middel-Hoog
20076,Noord-Holland,Uithoorn,2015,U,Extraterritoriale organisaties,0.0,0.0,Geen
20077,Noord-Holland,Uithoorn,2016,A,"Landbouw, bosbouw en visserij",130.0,0.0035822540644805732,Middel-Hoog
20078,Noord-Holland,Uithoorn,2016,B,Delfstoffenwinning,0.0,0.0,Geen
20079,Noord-Holland,Uithoorn,2016,C,Industrie,105.0,0.002893359052080463,Middel-Hoog
20080,Noord-Holland,Uithoorn,2016,D,Energievoorziening,0.0,0.0,Geen
20081,Noord-Holland,Uithoorn,2016,E,Waterbedrijven en afvalbeheer,10.0,0.0002755580049600441,Middel
20082,Noord-Holland,Uithoorn,2016,F,Bouwnijverheid,255.0,0.007026729126481124,Hoog
20083,Noord-Holland,Uithoorn,2016,G,Handel,505.0,0.013915679250482227,Hoog
20084,Noord-Holland,Uithoorn,2016,H,Vervoer en opslag,70.0,0.0019289060347203086,Middel-Hoog
20085,Noord-Holland,Uithoorn,2016,I,Horeca,60.0,0.0016533480297602646,Middel
20086,Noord-Holland,Uithoorn,2016,J,Informatie en communicatie,150.0,0.004133370074400662,Middel-Hoog
20087,Noord-Holland,Uithoorn,2016,K,Financiële dienstverlening,280.0,0.0077156241388812346,Hoog
20088,Noord-Holland,Uithoorn,2016,L,Verhuur en handel van onroerend goed,45.0,0.0012400110223201985,Middel
20089,Noord-Holland,Uithoorn,2016,M,Specialistische zakelijke diensten,535.0,0.014742353265362359,Hoog
20090,Noord-Holland,Uithoorn,2016,N,Verhuur en overige zakelijke diensten,140.0,0.0038578120694406173,Middel-Hoog
20091,Noord-Holland,Uithoorn,2016,R,"Cultuur, sport en recreatie",125.0,0.003444475062000551,Middel-Hoog
20092,Noord-Holland,Uithoorn,2016,S,Overige dienstverlening,170.0,0.00468448608432075,Middel-Hoog
20093,Noord-Holland,Uithoorn,2016,U,Extraterritoriale organisaties,0.0,0.0,Geen
20094,Noord-Holland,Uithoorn,2017,A,"Landbouw, bosbouw en visserij",120.0,0.003306696059520529,Middel-Hoog
20095,Noord-Holland,Uithoorn,2017,B,Delfstoffenwinning,0.0,0.0,Geen
20096,Noord-Holland,Uithoorn,2017,C,Industrie,90.0,0.002480022044640397,Middel-Hoog
20097,Noord-Holland,Uithoorn,2017,D,Energievoorziening,0.0,0.0,Geen
20098,Noord-Holland,Uithoorn,2017,E,Waterbedrijven en afvalbeheer,5.0,0.00013777900248002206,Middel
20099,Noord-Holland,Uithoorn,2017,F,Bouwnijverheid,275.0,0.007577845136401213,Hoog
20100,Noord-Holland,Uithoorn,2017,G,Handel,520.0,0.014329016257922293,Hoog
20101,Noord-Holland,Uithoorn,2017,H,Vervoer en opslag,80.0,0.002204464039680353,Middel-Hoog
20102,Noord-Holland,Uithoorn,2017,I,Horeca,65.0,0.0017911270322402866,Geen
20103,Noord-Holland,Uithoorn,2017,J,Informatie en communicatie,160.0,0.004408928079360706,Middel-Hoog
20104,Noord-Holland,Uithoorn,2017,K,Financiële dienstverlening,290.0,0.007991182143841279,Hoog
20105,Noord-Holland,Uithoorn,2017,L,Verhuur en handel van onroerend goed,45.0,0.0012400110223201985,Middel
20106,Noord-Holland,Uithoorn,2017,M,Specialistische zakelijke diensten,530.0,0.014604574262882338,Hoog
20107,Noord-Holland,Uithoorn,2017,N,Verhuur en overige zakelijke diensten,155.0,0.004271149076880683,Middel-Hoog
20108,Noord-Holland,Uithoorn,2017,R,"Cultuur, sport en recreatie",125.0,0.003444475062000551,Middel-Hoog
20109,Noord-Holland,Uithoorn,2017,S,Overige dienstverlening,165.0,0.004546707081840727,Middel-Hoog
20110,Noord-Holland,Uithoorn,2017,U,Extraterritoriale organisaties,0.0,0.0,Geen
20111,Noord-Holland,Uithoorn,2018,A,"Landbouw, bosbouw en visserij",120.0,0.003306696059520529,Middel-Hoog
20112,Noord-Holland,Uithoorn,2018,B,Delfstoffenwinning,0.0,0.0,Geen
20113,Noord-Holland,Uithoorn,2018,C,Industrie,105.0,0.002893359052080463,Middel-Hoog
20114,Noord-Holland,Uithoorn,2018,D,Energievoorziening,0.0,0.0,Geen
20115,Noord-Holland,Uithoorn,2018,E,Waterbedrijven en afvalbeheer,10.0,0.0002755580049600441,Middel
20116,Noord-Holland,Uithoorn,2018,F,Bouwnijverheid,300.0,0.008266740148801324,Hoog
20117,Noord-Holland,Uithoorn,2018,G,Handel,535.0,0.014742353265362359,Hoog
20118,Noord-Holland,Uithoorn,2018,H,Vervoer en opslag,85.0,0.002342243042160375,Middel-Hoog
20119,Noord-Holland,Uithoorn,2018,I,Horeca,65.0,0.0017911270322402866,Geen
20120,Noord-Holland,Uithoorn,2018,J,Informatie en communicatie,170.0,0.00468448608432075,Middel-Hoog
20121,Noord-Holland,Uithoorn,2018,K,Financiële dienstverlening,290.0,0.007991182143841279,Hoog
20122,Noord-Holland,Uithoorn,2018,L,Verhuur en handel van onroerend goed,45.0,0.0012400110223201985,Middel
20123,Noord-Holland,Uithoorn,2018,M,Specialistische zakelijke diensten,560.0,0.015431248277762469,Hoog
20124,Noord-Holland,Uithoorn,2018,N,Verhuur en overige zakelijke diensten,160.0,0.004408928079360706,Middel-Hoog
20125,Noord-Holland,Uithoorn,2018,R,"Cultuur, sport en recreatie",140.0,0.0038578120694406173,Middel-Hoog
20126,Noord-Holland,Uithoorn,2018,S,Overige dienstverlening,180.0,0.004960044089280794,Middel-Hoog
20127,Noord-Holland,Uithoorn,2018,U,Extraterritoriale organisaties,0.0,0.0,Geen
20128,Noord-Holland,Velsen,2015,A,"Landbouw, bosbouw en visserij",35.0,0.0009644530173601543,Middel
20129,Noord-Holland,Velsen,2015,B,Delfstoffenwinning,5.0,0.00013777900248002206,Middel
20130,Noord-Holland,Velsen,2015,C,Industrie,235.0,0.006475613116561036,Hoog
20131,Noord-Holland,Velsen,2015,D,Energievoorziening,5.0,0.00013777900248002206,Middel
20132,Noord-Holland,Velsen,2015,E,Waterbedrijven en afvalbeheer,15.0,0.00041333700744006614,Middel
20133,Noord-Holland,Velsen,2015,F,Bouwnijverheid,780.0,0.02149352438688344,Hoog
20134,Noord-Holland,Velsen,2015,G,Handel,890.0,0.024524662441443926,Hoog
20135,Noord-Holland,Velsen,2015,H,Vervoer en opslag,150.0,0.004133370074400662,Middel-Hoog
20136,Noord-Holland,Velsen,2015,I,Horeca,180.0,0.004960044089280794,Middel-Hoog
20137,Noord-Holland,Velsen,2015,J,Informatie en communicatie,200.0,0.005511160099200882,Hoog
20138,Noord-Holland,Velsen,2015,K,Financiële dienstverlening,455.0,0.012537889225682006,Hoog
20139,Noord-Holland,Velsen,2015,L,Verhuur en handel van onroerend goed,85.0,0.002342243042160375,Middel-Hoog
20140,Noord-Holland,Velsen,2015,M,Specialistische zakelijke diensten,1025.0,0.02824469550840452,Hoog
20141,Noord-Holland,Velsen,2015,N,Verhuur en overige zakelijke diensten,255.0,0.007026729126481124,Hoog
20142,Noord-Holland,Velsen,2015,R,"Cultuur, sport en recreatie",265.0,0.007302287131441169,Hoog
20143,Noord-Holland,Velsen,2015,S,Overige dienstverlening,335.0,0.009231193166161477,Hoog
20144,Noord-Holland,Velsen,2015,U,Extraterritoriale organisaties,0.0,0.0,Geen
20145,Noord-Holland,Velsen,2016,A,"Landbouw, bosbouw en visserij",35.0,0.0009644530173601543,Middel
20146,Noord-Holland,Velsen,2016,B,Delfstoffenwinning,5.0,0.00013777900248002206,Middel
20147,Noord-Holland,Velsen,2016,C,Industrie,240.0,0.006613392119041058,Hoog
20148,Noord-Holland,Velsen,2016,D,Energievoorziening,5.0,0.00013777900248002206,Middel
20149,Noord-Holland,Velsen,2016,E,Waterbedrijven en afvalbeheer,15.0,0.00041333700744006614,Middel
20150,Noord-Holland,Velsen,2016,F,Bouwnijverheid,830.0,0.02287131441168366,Hoog
20151,Noord-Holland,Velsen,2016,G,Handel,920.0,0.025351336456324057,Hoog
20152,Noord-Holland,Velsen,2016,H,Vervoer en opslag,155.0,0.004271149076880683,Middel-Hoog
20153,Noord-Holland,Velsen,2016,I,Horeca,195.0,0.00537338109672086,Hoog
20154,Noord-Holland,Velsen,2016,J,Informatie en communicatie,235.0,0.006475613116561036,Hoog
20155,Noord-Holland,Velsen,2016,K,Financiële dienstverlening,460.0,0.012675668228162029,Hoog
20156,Noord-Holland,Velsen,2016,L,Verhuur en handel van onroerend goed,85.0,0.002342243042160375,Middel-Hoog
20157,Noord-Holland,Velsen,2016,M,Specialistische zakelijke diensten,1095.0,0.030173601543124828,Hoog
20158,Noord-Holland,Velsen,2016,N,Verhuur en overige zakelijke diensten,260.0,0.0071645081289611464,Hoog
20159,Noord-Holland,Velsen,2016,R,"Cultuur, sport en recreatie",270.0,0.0074400661339211905,Hoog
20160,Noord-Holland,Velsen,2016,S,Overige dienstverlening,355.0,0.009782309176081565,Hoog
20161,Noord-Holland,Velsen,2016,U,Extraterritoriale organisaties,0.0,0.0,Geen
20162,Noord-Holland,Velsen,2017,A,"Landbouw, bosbouw en visserij",35.0,0.0009644530173601543,Middel
20163,Noord-Holland,Velsen,2017,B,Delfstoffenwinning,5.0,0.00013777900248002206,Middel
20164,Noord-Holland,Velsen,2017,C,Industrie,250.0,0.006888950124001102,Hoog
20165,Noord-Holland,Velsen,2017,D,Energievoorziening,5.0,0.00013777900248002206,Middel
20166,Noord-Holland,Velsen,2017,E,Waterbedrijven en afvalbeheer,10.0,0.0002755580049600441,Middel
20167,Noord-Holland,Velsen,2017,F,Bouwnijverheid,880.0,0.02424910443648388,Hoog
20168,Noord-Holland,Velsen,2017,G,Handel,950.0,0.02617801047120419,Hoog
20169,Noord-Holland,Velsen,2017,H,Vervoer en opslag,165.0,0.004546707081840727,Middel-Hoog
20170,Noord-Holland,Velsen,2017,I,Horeca,200.0,0.005511160099200882,Hoog
20171,Noord-Holland,Velsen,2017,J,Informatie en communicatie,235.0,0.006475613116561036,Hoog
20172,Noord-Holland,Velsen,2017,K,Financiële dienstverlening,490.0,0.01350234224304216,Hoog
20173,Noord-Holland,Velsen,2017,L,Verhuur en handel van onroerend goed,90.0,0.002480022044640397,Middel-Hoog
20174,Noord-Holland,Velsen,2017,M,Specialistische zakelijke diensten,1100.0,0.030311380545604852,Hoog
20175,Noord-Holland,Velsen,2017,N,Verhuur en overige zakelijke diensten,265.0,0.007302287131441169,Hoog
20176,Noord-Holland,Velsen,2017,R,"Cultuur, sport en recreatie",285.0,0.007853403141361256,Hoog
20177,Noord-Holland,Velsen,2017,S,Overige dienstverlening,360.0,0.009920088178561588,Hoog
20178,Noord-Holland,Velsen,2017,U,Extraterritoriale organisaties,0.0,0.0,Geen
20179,Noord-Holland,Velsen,2018,A,"Landbouw, bosbouw en visserij",35.0,0.0009644530173601543,Middel
20180,Noord-Holland,Velsen,2018,B,Delfstoffenwinning,5.0,0.00013777900248002206,Middel
20181,Noord-Holland,Velsen,2018,C,Industrie,255.0,0.007026729126481124,Hoog
20182,Noord-Holland,Velsen,2018,D,Energievoorziening,5.0,0.00013777900248002206,Middel
20183,Noord-Holland,Velsen,2018,E,Waterbedrijven en afvalbeheer,10.0,0.0002755580049600441,Middel
20184,Noord-Holland,Velsen,2018,F,Bouwnijverheid,935.0,0.025764673463764123,Hoog
20185,Noord-Holland,Velsen,2018,G,Handel,975.0,0.0268669054836043,Hoog
20186,Noord-Holland,Velsen,2018,H,Vervoer en opslag,180.0,0.004960044089280794,Middel-Hoog
20187,Noord-Holland,Velsen,2018,I,Horeca,205.0,0.005648939101680904,Hoog
20188,Noord-Holland,Velsen,2018,J,Informatie en communicatie,235.0,0.006475613116561036,Hoog
20189,Noord-Holland,Velsen,2018,K,Financiële dienstverlening,500.0,0.013777900248002205,Hoog
20190,Noord-Holland,Velsen,2018,L,Verhuur en handel van onroerend goed,95.0,0.002617801047120419,Middel-Hoog
20191,Noord-Holland,Velsen,2018,M,Specialistische zakelijke diensten,1170.0,0.032240286580325156,Hoog
20192,Noord-Holland,Velsen,2018,N,Verhuur en overige zakelijke diensten,285.0,0.007853403141361256,Hoog
20193,Noord-Holland,Velsen,2018,R,"Cultuur, sport en recreatie",275.0,0.007577845136401213,Hoog
20194,Noord-Holland,Velsen,2018,S,Overige dienstverlening,375.0,0.010333425186001654,Hoog
20195,Noord-Holland,Velsen,2018,U,Extraterritoriale organisaties,0.0,0.0,Geen
20196,Noord-Holland,Waterland,2015,A,"Landbouw, bosbouw en visserij",100.0,0.002755580049600441,Middel-Hoog
20197,Noord-Holland,Waterland,2015,B,Delfstoffenwinning,0.0,0.0,Geen
20198,Noord-Holland,Waterland,2015,C,Industrie,70.0,0.0019289060347203086,Middel-Hoog
20199,Noord-Holland,Waterland,2015,D,Energievoorziening,0.0,0.0,Geen
20200,Noord-Holland,Waterland,2015,E,Waterbedrijven en afvalbeheer,0.0,0.0,Geen
20201,Noord-Holland,Waterland,2015,F,Bouwnijverheid,175.0,0.0048222650868007715,Middel-Hoog
20202,Noord-Holland,Waterland,2015,G,Handel,215.0,0.005924497106640948,Hoog
20203,Noord-Holland,Waterland,2015,H,Vervoer en opslag,50.0,0.0013777900248002205,Middel
20204,Noord-Holland,Waterland,2015,I,Horeca,70.0,0.0019289060347203086,Middel-Hoog
20205,Noord-Holland,Waterland,2015,J,Informatie en communicatie,90.0,0.002480022044640397,Middel-Hoog
20206,Noord-Holland,Waterland,2015,K,Financiële dienstverlening,150.0,0.004133370074400662,Middel-Hoog
20207,Noord-Holland,Waterland,2015,L,Verhuur en handel van onroerend goed,25.0,0.0006888950124001103,Middel
20208,Noord-Holland,Waterland,2015,M,Specialistische zakelijke diensten,415.0,0.01143565720584183,Hoog
20209,Noord-Holland,Waterland,2015,N,Verhuur en overige zakelijke diensten,70.0,0.0019289060347203086,Middel-Hoog
20210,Noord-Holland,Waterland,2015,R,"Cultuur, sport en recreatie",135.0,0.0037200330669605952,Middel-Hoog
20211,Noord-Holland,Waterland,2015,S,Overige dienstverlening,100.0,0.002755580049600441,Middel-Hoog
20212,Noord-Holland,Waterland,2015,U,Extraterritoriale organisaties,0.0,0.0,Geen
20213,Noord-Holland,Waterland,2016,A,"Landbouw, bosbouw en visserij",105.0,0.002893359052080463,Middel-Hoog
20214,Noord-Holland,Waterland,2016,B,Delfstoffenwinning,0.0,0.0,Geen
20215,Noord-Holland,Waterland,2016,C,Industrie,75.0,0.002066685037200331,Middel-Hoog
20216,Noord-Holland,Waterland,2016,D,Energievoorziening,0.0,0.0,Geen
20217,Noord-Holland,Waterland,2016,E,Waterbedrijven en afvalbeheer,0.0,0.0,Geen
20218,Noord-Holland,Waterland,2016,F,Bouwnijverheid,180.0,0.004960044089280794,Middel-Hoog
20219,Noord-Holland,Waterland,2016,G,Handel,225.0,0.006200055111600992,Hoog
20220,Noord-Holland,Waterland,2016,H,Vervoer en opslag,50.0,0.0013777900248002205,Middel
20221,Noord-Holland,Waterland,2016,I,Horeca,70.0,0.0019289060347203086,Middel-Hoog
20222,Noord-Holland,Waterland,2016,J,Informatie en communicatie,90.0,0.002480022044640397,Middel-Hoog
20223,Noord-Holland,Waterland,2016,K,Financiële dienstverlening,160.0,0.004408928079360706,Middel-Hoog
20224,Noord-Holland,Waterland,2016,L,Verhuur en handel van onroerend goed,30.0,0.0008266740148801323,Middel
20225,Noord-Holland,Waterland,2016,M,Specialistische zakelijke diensten,425.0,0.011711215210801875,Hoog
20226,Noord-Holland,Waterland,2016,N,Verhuur en overige zakelijke diensten,65.0,0.0017911270322402866,Geen
20227,Noord-Holland,Waterland,2016,R,"Cultuur, sport en recreatie",140.0,0.0038578120694406173,Middel-Hoog
20228,Noord-Holland,Waterland,2016,S,Overige dienstverlening,100.0,0.002755580049600441,Middel-Hoog
20229,Noord-Holland,Waterland,2016,U,Extraterritoriale organisaties,0.0,0.0,Geen
20230,Noord-Holland,Waterland,2017,A,"Landbouw, bosbouw en visserij",110.0,0.003031138054560485,Middel-Hoog
20231,Noord-Holland,Waterland,2017,B,Delfstoffenwinning,0.0,0.0,Geen
20232,Noord-Holland,Waterland,2017,C,Industrie,75.0,0.002066685037200331,Middel-Hoog
20233,Noord-Holland,Waterland,2017,D,Energievoorziening,0.0,0.0,Geen
