,Soort_misdrijf,Perioden,Regio's,Provincie,Aantal_misdrijven,Misdrijven_relatief(%),Aantal_misdrijven_genormaliseerd,Aantal_misdrijven_klasse
11427,9 Misdrijven overige wetten,2015,Molenlanden,Zuid-Holland,0.0,0.0,0.0,Laag
11428,9 Misdrijven overige wetten,2016,Molenlanden,Zuid-Holland,0.0,0.0,0.0,Laag
11429,9 Misdrijven overige wetten,2017,Molenlanden,Zuid-Holland,0.0,0.0,0.0,Laag
11430,"Misdrijven, totaal",2013,Molenwaard,Zuid-Holland,735.0,100.0,0.007230693556320709,Hoog
11431,"Misdrijven, totaal",2014,Molenwaard,Zuid-Holland,635.0,100.0,0.0062469257255287755,Hoog
11432,"Misdrijven, totaal",2015,Molenwaard,Zuid-Holland,600.0,100.0,0.005902606984751599,Hoog
11433,"Misdrijven, totaal",2016,Molenwaard,Zuid-Holland,525.0,100.0,0.005164781111657649,Hoog
11434,"Misdrijven, totaal",2017,Molenwaard,Zuid-Holland,435.0,100.0,0.004279390063944909,Hoog
11435,1 Vermogensmisdrijven,2013,Molenwaard,Zuid-Holland,330.0,45.0,0.003246433841613379,Hoog
11436,1 Vermogensmisdrijven,2014,Molenwaard,Zuid-Holland,295.0,46.0,0.002902115100836203,Midden
11437,1 Vermogensmisdrijven,2015,Molenwaard,Zuid-Holland,320.0,53.0,0.0031480570585341863,Midden
11438,1 Vermogensmisdrijven,2016,Molenwaard,Zuid-Holland,270.0,51.0,0.0026561731431382195,Midden
11439,1 Vermogensmisdrijven,2017,Molenwaard,Zuid-Holland,220.0,50.0,0.002164289227742253,Midden
11440,"2 Vernielingen, misdr.openb.orde/gezag",2013,Molenwaard,Zuid-Holland,175.0,24.0,0.001721593703885883,Midden
11441,"2 Vernielingen, misdr.openb.orde/gezag",2014,Molenwaard,Zuid-Holland,135.0,21.0,0.0013280865715691098,Midden
11442,"2 Vernielingen, misdr.openb.orde/gezag",2015,Molenwaard,Zuid-Holland,100.0,17.0,0.000983767830791933,Midden
11443,"2 Vernielingen, misdr.openb.orde/gezag",2016,Molenwaard,Zuid-Holland,90.0,17.0,0.0008853910477127398,Midden
11444,"2 Vernielingen, misdr.openb.orde/gezag",2017,Molenwaard,Zuid-Holland,65.0,14.0,0.0006394490900147565,Midden
11445,3 Gewelds- en seksuele misdrijven,2013,Molenwaard,Zuid-Holland,65.0,9.0,0.0006394490900147565,Midden
11446,3 Gewelds- en seksuele misdrijven,2014,Molenwaard,Zuid-Holland,50.0,8.0,0.0004918839153959665,Midden
11447,3 Gewelds- en seksuele misdrijven,2015,Molenwaard,Zuid-Holland,50.0,9.0,0.0004918839153959665,Midden
11448,3 Gewelds- en seksuele misdrijven,2016,Molenwaard,Zuid-Holland,50.0,9.0,0.0004918839153959665,Midden
11449,3 Gewelds- en seksuele misdrijven,2017,Molenwaard,Zuid-Holland,30.0,7.0,0.00029513034923757994,Midden
11450,4 Misdrijven WvSr (overig),2013,Molenwaard,Zuid-Holland,5.0,0.0,4.918839153959666e-05,Laag
11451,4 Misdrijven WvSr (overig),2014,Molenwaard,Zuid-Holland,5.0,0.0,4.918839153959666e-05,Laag
11452,4 Misdrijven WvSr (overig),2015,Molenwaard,Zuid-Holland,0.0,0.0,0.0,Laag
11453,4 Misdrijven WvSr (overig),2016,Molenwaard,Zuid-Holland,10.0,2.0,9.837678307919332e-05,Laag
11454,4 Misdrijven WvSr (overig),2017,Molenwaard,Zuid-Holland,5.0,1.0,4.918839153959666e-05,Laag
11455,5 Verkeersmisdrijven,2013,Molenwaard,Zuid-Holland,140.0,19.0,0.0013772749631087064,Midden
11456,5 Verkeersmisdrijven,2014,Molenwaard,Zuid-Holland,140.0,22.0,0.0013772749631087064,Midden
11457,5 Verkeersmisdrijven,2015,Molenwaard,Zuid-Holland,120.0,20.0,0.0011805213969503198,Midden
11458,5 Verkeersmisdrijven,2016,Molenwaard,Zuid-Holland,90.0,17.0,0.0008853910477127398,Midden
11459,5 Verkeersmisdrijven,2017,Molenwaard,Zuid-Holland,110.0,25.0,0.0010821446138711264,Midden
11460,6 Drugsmisdrijven,2013,Molenwaard,Zuid-Holland,10.0,1.0,9.837678307919332e-05,Laag
11461,6 Drugsmisdrijven,2014,Molenwaard,Zuid-Holland,5.0,1.0,4.918839153959666e-05,Laag
11462,6 Drugsmisdrijven,2015,Molenwaard,Zuid-Holland,5.0,1.0,4.918839153959666e-05,Laag
11463,6 Drugsmisdrijven,2016,Molenwaard,Zuid-Holland,5.0,1.0,4.918839153959666e-05,Laag
11464,6 Drugsmisdrijven,2017,Molenwaard,Zuid-Holland,5.0,1.0,4.918839153959666e-05,Laag
11465,7 (Vuur)wapenmisdrijven,2013,Molenwaard,Zuid-Holland,5.0,1.0,4.918839153959666e-05,Laag
11466,7 (Vuur)wapenmisdrijven,2014,Molenwaard,Zuid-Holland,5.0,0.0,4.918839153959666e-05,Laag
11467,7 (Vuur)wapenmisdrijven,2015,Molenwaard,Zuid-Holland,5.0,1.0,4.918839153959666e-05,Laag
11468,7 (Vuur)wapenmisdrijven,2016,Molenwaard,Zuid-Holland,5.0,1.0,4.918839153959666e-05,Laag
11469,7 (Vuur)wapenmisdrijven,2017,Molenwaard,Zuid-Holland,5.0,1.0,4.918839153959666e-05,Laag
11470,9 Misdrijven overige wetten,2013,Molenwaard,Zuid-Holland,15.0,2.0,0.00014756517461878997,Midden
